Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,5.480000,5.630000,5.480000,5.590000,5.590000,17232127
2021-01-05,5.570000,5.600000,5.510000,5.570000,5.570000,12893976
2021-01-06,5.550000,5.590000,5.400000,5.430000,5.430000,14612100
2021-01-07,5.440000,5.480000,5.320000,5.360000,5.360000,15409792
2021-01-08,5.350000,5.360000,5.190000,5.230000,5.230000,18467772
2021-01-11,5.240000,5.380000,5.120000,5.230000,5.230000,19406651
2021-01-12,5.220000,5.320000,5.150000,5.240000,5.240000,14588575
2021-01-13,5.250000,5.380000,5.210000,5.320000,5.320000,19478596
2021-01-14,5.260000,5.280000,5.100000,5.170000,5.170000,15340874
2021-01-15,5.170000,5.210000,5.120000,5.200000,5.200000,9363600
2021-01-18,5.350000,5.550000,5.330000,5.370000,5.370000,24876174
2021-01-19,5.320000,5.340000,5.230000,5.260000,5.260000,16883270
2021-01-20,5.240000,5.790000,5.190000,5.790000,5.790000,59790267
2021-01-21,5.770000,6.200000,5.700000,5.880000,5.880000,104073785
2021-01-22,5.760000,5.880000,5.650000,5.700000,5.700000,58913464
2021-01-25,5.620000,5.750000,5.480000,5.510000,5.510000,45373587
2021-01-26,5.470000,5.650000,5.380000,5.550000,5.550000,40920262
2021-01-27,5.500000,5.500000,5.210000,5.310000,5.310000,28276172
2021-01-28,5.230000,5.420000,5.190000,5.240000,5.240000,20864088
2021-01-29,5.280000,5.380000,5.190000,5.270000,5.270000,17266783
2021-02-01,5.170000,5.250000,5.120000,5.220000,5.220000,13942700
2021-02-02,5.250000,5.380000,5.170000,5.300000,5.300000,19570685
2021-02-03,5.250000,5.620000,5.220000,5.430000,5.430000,36808680
2021-02-04,5.300000,5.350000,5.120000,5.170000,5.170000,26285231
2021-02-05,5.160000,5.210000,4.840000,4.870000,4.870000,26191899
2021-02-08,4.820000,4.900000,4.720000,4.870000,4.870000,10538800
2021-02-09,4.850000,5.010000,4.830000,4.950000,4.950000,13081884
2021-02-10,4.960000,5.030000,4.900000,4.980000,4.980000,12079426
2021-02-18,5.100000,5.240000,5.100000,5.180000,5.180000,20020986
2021-02-19,5.140000,5.280000,5.120000,5.280000,5.280000,18114609
2021-02-22,5.310000,5.810000,5.310000,5.590000,5.590000,60313442
2021-02-23,5.550000,5.960000,5.490000,5.730000,5.730000,54598149
2021-02-24,5.640000,5.650000,5.430000,5.490000,5.490000,36099722
2021-02-25,5.560000,5.610000,5.350000,5.440000,5.440000,22445783
2021-02-26,5.300000,5.510000,5.260000,5.410000,5.410000,17968422
2021-03-01,5.420000,5.740000,5.380000,5.680000,5.680000,41514624
2021-03-02,5.660000,6.100000,5.570000,5.730000,5.730000,63850436
2021-03-03,5.720000,6.090000,5.690000,5.950000,5.950000,67726242
2021-03-04,5.870000,6.400000,5.830000,6.080000,6.080000,102871233
2021-03-05,5.890000,5.980000,5.710000,5.830000,5.830000,56642684
2021-03-08,5.930000,6.040000,5.750000,5.770000,5.770000,42954013
2021-03-09,5.700000,5.730000,5.450000,5.570000,5.570000,38609030
2021-03-10,5.600000,5.680000,5.500000,5.560000,5.560000,22798402
2021-03-11,5.560000,5.840000,5.530000,5.800000,5.800000,33844780
2021-03-12,5.770000,5.870000,5.700000,5.830000,5.830000,29145800
2021-03-15,5.700000,5.890000,5.660000,5.810000,5.810000,30554396
2021-03-16,5.790000,5.820000,5.560000,5.620000,5.620000,29026114
2021-03-17,5.610000,5.630000,5.480000,5.550000,5.550000,18509504
2021-03-18,5.560000,5.570000,5.360000,5.370000,5.370000,25848788
2021-03-19,5.310000,5.530000,5.280000,5.430000,5.430000,19678892
2021-03-22,5.390000,5.490000,5.360000,5.460000,5.460000,16438148
2021-03-23,5.420000,5.440000,5.250000,5.280000,5.280000,18265144
2021-03-24,5.280000,5.330000,5.170000,5.200000,5.200000,12164082
2021-03-25,5.220000,5.310000,5.210000,5.220000,5.220000,8567902
2021-03-26,5.200000,5.310000,5.170000,5.270000,5.270000,13853560
2021-03-29,5.280000,5.310000,5.210000,5.240000,5.240000,10856404
2021-03-30,5.250000,5.390000,5.230000,5.330000,5.330000,18345480
2021-03-31,5.310000,5.310000,5.220000,5.240000,5.240000,12483125
2021-04-01,5.220000,5.270000,5.210000,5.230000,5.230000,6999292
2021-04-02,5.240000,5.260000,5.210000,5.230000,5.230000,5718559
2021-04-06,5.230000,5.270000,5.220000,5.250000,5.250000,5979676
2021-04-07,5.260000,5.310000,5.190000,5.310000,5.310000,12602304
2021-04-08,5.300000,5.370000,5.240000,5.300000,5.300000,13370174
2021-04-09,5.300000,5.360000,5.250000,5.320000,5.320000,11557400
2021-04-12,5.320000,5.350000,5.200000,5.210000,5.210000,12172295
2021-04-13,5.190000,5.210000,5.070000,5.090000,5.090000,10446500
2021-04-14,5.080000,5.150000,5.080000,5.140000,5.140000,4199532
2021-04-15,5.140000,5.180000,5.090000,5.160000,5.160000,6397740
2021-04-16,5.180000,5.200000,5.150000,5.190000,5.190000,6846334
2021-04-19,5.210000,5.280000,5.180000,5.270000,5.270000,9173420
2021-04-20,5.260000,5.430000,5.230000,5.330000,5.330000,19727888
2021-04-21,5.280000,5.350000,5.240000,5.290000,5.290000,8886589
2021-04-22,5.300000,5.330000,5.260000,5.260000,5.260000,7065994
2021-04-23,5.270000,5.280000,5.180000,5.210000,5.210000,6926296
2021-04-26,5.240000,5.320000,5.220000,5.230000,5.230000,7343855
2021-04-27,5.290000,5.290000,5.210000,5.250000,5.250000,6943254
2021-04-28,5.250000,5.260000,5.200000,5.220000,5.220000,6186535
2021-04-29,5.210000,5.220000,5.140000,5.140000,5.140000,10449700
2021-04-30,5.170000,5.170000,5.050000,5.090000,5.090000,8872500
2021-05-06,5.110000,5.180000,5.110000,5.160000,5.160000,6094422
2021-05-07,5.200000,5.330000,5.140000,5.270000,5.270000,17182714
2021-05-10,5.270000,5.390000,5.250000,5.390000,5.390000,20925001
2021-05-11,5.360000,5.370000,5.240000,5.280000,5.280000,13784789
2021-05-12,5.250000,5.380000,5.230000,5.310000,5.310000,14338608
2021-05-13,5.270000,5.290000,5.210000,5.240000,5.240000,11137106
2021-05-14,5.220000,5.230000,5.110000,5.200000,5.200000,12303530
2021-05-17,5.200000,5.200000,5.140000,5.170000,5.170000,7159300
2021-05-18,5.170000,5.200000,5.140000,5.190000,5.190000,6004189
2021-05-19,5.180000,5.180000,5.140000,5.150000,5.150000,5711602
2021-05-20,5.150000,5.150000,5.070000,5.090000,5.090000,8317178
2021-05-21,5.100000,5.130000,5.090000,5.130000,5.130000,4870100
2021-05-24,5.110000,5.130000,5.090000,5.100000,5.100000,6695720
2021-05-25,5.130000,5.150000,5.100000,5.140000,5.140000,6628613
2021-05-26,5.140000,5.220000,5.120000,5.200000,5.200000,11076930
2021-05-27,5.160000,5.200000,5.160000,5.190000,5.190000,6605633
2021-05-28,5.210000,5.230000,5.130000,5.140000,5.140000,8083653
2021-05-31,5.150000,5.280000,5.130000,5.240000,5.240000,17057407
2021-06-01,5.230000,5.240000,5.180000,5.220000,5.220000,9023271
2021-06-02,5.230000,5.250000,5.150000,5.170000,5.170000,9297858
2021-06-03,5.180000,5.280000,5.160000,5.220000,5.220000,17000453
2021-06-04,5.190000,5.220000,5.160000,5.190000,5.190000,10290640
2021-06-07,5.200000,5.220000,5.140000,5.170000,5.170000,8280040
2021-06-08,5.190000,5.190000,5.110000,5.130000,5.130000,9115034
2021-06-09,5.140000,5.170000,5.120000,5.140000,5.140000,5310979
2021-06-10,5.150000,5.150000,5.100000,5.120000,5.120000,8522739
2021-06-11,5.130000,5.130000,5.080000,5.090000,5.090000,7409514
2021-06-15,5.090000,5.100000,4.990000,5.010000,5.010000,8983234
2021-06-16,5.020000,5.030000,4.970000,4.980000,4.980000,6356500
2021-06-17,5.000000,5.010000,4.960000,5.000000,5.000000,4220900
2021-06-18,5.000000,5.090000,4.970000,5.060000,5.060000,7072820
2021-06-21,5.060000,5.080000,5.020000,5.040000,5.040000,5006000
2021-06-22,5.050000,5.110000,5.030000,5.080000,5.080000,8141601
2021-06-23,5.070000,5.080000,5.030000,5.030000,5.030000,7086354
2021-06-24,5.030000,5.150000,5.010000,5.080000,5.080000,13090602
2021-06-25,5.060000,5.100000,5.040000,5.070000,5.070000,7651640
2021-06-28,5.070000,5.070000,5.030000,5.040000,5.040000,5577100
