Date,Interpolated Demand,Interpolated Total Value
2020-01-01,15416.387419354838,664702078.0993549
2020-01-02,15317.453746097814,659309114.6137044
2020-01-03,15218.52007284079,653916151.1280541
2020-01-04,15119.586399583766,648523187.6424037
2020-01-05,15020.652726326742,643130224.1567534
2020-01-06,14921.719053069719,637737260.671103
2020-01-07,14822.785379812694,632344297.1854527
2020-01-08,14723.85170655567,626951333.6998023
2020-01-09,14624.918033298647,621558370.214152
2020-01-10,14525.984360041622,616165406.7285016
2020-01-11,14427.050686784598,610772443.2428513
2020-01-12,14328.117013527575,605379479.7572008
2020-01-13,14229.18334027055,599986516.2715505
2020-01-14,14130.249667013528,594593552.7859001
2020-01-15,14031.315993756503,589200589.3002498
2020-01-16,13932.382320499479,583807625.8145994
2020-01-17,13833.448647242456,578414662.328949
2020-01-18,13734.514973985431,573021698.8432987
2020-01-19,13635.581300728407,567628735.3576484
2020-01-20,13536.647627471384,562235771.871998
2020-01-21,13437.71395421436,556842808.3863475
2020-01-22,13338.780280957337,551449844.9006972
2020-01-23,13239.846607700312,546056881.4150468
2020-01-24,13140.912934443288,540663917.9293965
2020-01-25,13041.979261186265,535270954.4437461
2020-01-26,12943.04558792924,529877990.9580958
2020-01-27,12844.111914672216,524485027.47244537
2020-01-28,12745.178241415193,519092063.98679507
2020-01-29,12646.244568158168,513699100.50114465
2020-01-30,12547.310894901144,508306137.0154943
2020-01-31,12448.377221644121,502913173.5298439
2020-02-01,12349.443548387097,497520210.04419357
2020-02-02,12462.287697441601,502740969.21219134
2020-02-03,12575.131846496106,507961728.3801891
2020-02-04,12687.975995550612,513182487.5481869
2020-02-05,12800.820144605117,518403246.7161847
2020-02-06,12913.664293659622,523624005.88418245
2020-02-07,13026.508442714126,528844765.05218023
2020-02-08,13139.352591768631,534065524.220178
2020-02-09,13252.196740823138,539286283.3881757
2020-02-10,13365.040889877642,544507042.5561736
2020-02-11,13477.885038932147,549727801.7241714
2020-02-12,13590.729187986652,554948560.8921691
2020-02-13,13703.573337041158,560169320.0601668
2020-02-14,13816.417486095663,565390079.2281647
2020-02-15,13929.261635150167,570610838.3961625
2020-02-16,14042.105784204672,575831597.5641602
2020-02-17,14154.949933259177,581052356.732158
2020-02-18,14267.794082313681,586273115.9001558
2020-02-19,14380.638231368188,591493875.0681536
2020-02-20,14493.482380422693,596714634.2361513
2020-02-21,14606.326529477197,601935393.404149
2020-02-22,14719.170678531702,607156152.5721469
2020-02-23,14832.014827586208,612376911.7401447
2020-02-24,14944.858976640713,617597670.9081424
2020-02-25,15057.703125695218,622818430.0761402
2020-02-26,15170.547274749722,628039189.244138
2020-02-27,15283.391423804227,633259948.4121358
2020-02-28,15396.235572858732,638480707.5801336
2020-02-29,15509.079721913238,643701466.7481313
2020-03-01,15621.923870967743,648922225.9161291
2020-03-02,15426.821071800208,640937204.3653799
2020-03-03,15231.718272632676,632952182.8146306
2020-03-04,15036.61547346514,624967161.2638814
2020-03-05,14841.512674297608,616982139.7131323
2020-03-06,14646.409875130073,608997118.162383
2020-03-07,14451.30707596254,601012096.6116338
2020-03-08,14256.204276795006,593027075.0608846
2020-03-09,14061.101477627471,585042053.5101353
2020-03-10,13865.998678459939,577057031.9593861
2020-03-11,13670.895879292404,569072010.4086369
2020-03-12,13475.793080124871,561086988.8578876
2020-03-13,13280.690280957337,553101967.3071384
2020-03-14,13085.587481789804,545116945.7563893
2020-03-15,12890.48468262227,537131924.20564
2020-03-16,12695.381883454735,529146902.6548908
2020-03-17,12500.279084287202,521161881.10414153
2020-03-18,12305.176285119667,513176859.5533923
2020-03-19,12110.073485952133,505191838.0026431
2020-03-20,11914.9706867846,497206816.45189387
2020-03-21,11719.867887617067,489221794.9011446
2020-03-22,11524.765088449532,481236773.35039544
2020-03-23,11329.662289281998,473251751.7996462
2020-03-24,11134.559490114465,465266730.24889696
2020-03-25,10939.45669094693,457281708.6981478
2020-03-26,10744.353891779396,449296687.14739853
2020-03-27,10549.251092611863,441311665.5966493
2020-03-28,10354.14829344433,433326644.0459001
2020-03-29,10159.045494276796,425341622.49515086
2020-03-30,9963.942695109261,417356600.9444016
2020-03-31,9768.839895941728,409371579.39365244
2020-04-01,9573.737096774194,401386557.8429032
2020-04-02,9664.848516129032,405706148.65634406
2020-04-03,9755.95993548387,410025739.4697849
2020-04-04,9847.07135483871,414345330.2832258
2020-04-05,9938.182774193549,418664921.09666663
2020-04-06,10029.294193548387,422984511.9101075
2020-04-07,10120.405612903225,427304102.72354835
2020-04-08,10211.517032258063,431623693.5369892
2020-04-09,10302.628451612904,435943284.3504301
2020-04-10,10393.739870967742,440262875.16387093
2020-04-11,10484.85129032258,444582465.9773118
2020-04-12,10575.962709677418,448902056.79075265
2020-04-13,10667.074129032258,453221647.6041935
2020-04-14,10758.185548387097,457541238.41763437
2020-04-15,10849.296967741935,461860829.2310752
2020-04-16,10940.408387096773,466180420.0445161
2020-04-17,11031.519806451612,470500010.85795695
2020-04-18,11122.63122580645,474819601.6713978
2020-04-19,11213.74264516129,479139192.48483866
2020-04-20,11304.854064516128,483458783.2982795
2020-04-21,11395.965483870967,487778374.1117204
2020-04-22,11487.076903225805,492097964.92516124
2020-04-23,11578.188322580645,496417555.7386021
2020-04-24,11669.299741935483,500737146.55204296
2020-04-25,11760.411161290322,505056737.3654838
2020-04-26,11851.52258064516,509376328.1789247
2020-04-27,11942.633999999998,513695918.99236554
2020-04-28,12033.745419354836,518015509.8058064
2020-04-29,12124.856838709677,522335100.61924726
2020-04-30,12215.968258064515,526654691.4326881
2020-05-01,12307.079677419353,530974282.246129
2020-05-02,12483.977429760664,538687607.5135691
