Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.000000,4.190000,3.980000,4.180000,4.180000,7178597
2021-01-05,4.200000,4.370000,4.200000,4.350000,4.350000,10512932
2021-01-06,4.380000,4.450000,4.240000,4.280000,4.280000,7685366
2021-01-07,4.430000,4.630000,4.400000,4.590000,4.590000,10056522
2021-01-08,4.660000,4.680000,4.550000,4.600000,4.600000,10106663
2021-01-11,4.630000,4.720000,4.490000,4.510000,4.510000,10369084
2021-01-12,4.530000,4.550000,4.345000,4.380000,4.380000,7929830
2021-01-13,4.400000,4.450000,4.355000,4.370000,4.370000,5336733
2021-01-14,4.390000,4.400000,4.290000,4.350000,4.350000,4201994
2021-01-15,4.390000,4.430000,4.320000,4.410000,4.410000,5773885
2021-01-18,4.380000,4.400000,4.220000,4.250000,4.250000,5925886
2021-01-19,4.250000,4.510000,4.250000,4.480000,4.480000,9300656
2021-01-20,4.570000,4.730000,4.570000,4.700000,4.700000,6850774
2021-01-21,4.700000,4.900000,4.650000,4.890000,4.890000,7522927
2021-01-22,5.140000,5.690000,5.110000,5.560000,5.560000,20786541
2021-01-25,5.520000,5.520000,5.220000,5.380000,5.380000,12341177
2021-01-27,5.400000,5.400000,5.230000,5.310000,5.310000,9615785
2021-01-28,5.150000,5.150000,4.950000,4.980000,4.980000,11905614
2021-01-29,5.170000,5.270000,4.670000,4.780000,4.780000,13606145
2021-02-01,4.650000,4.860000,4.475000,4.830000,4.830000,14699120
2021-02-02,5.000000,5.090000,4.860000,4.940000,4.940000,9425505
2021-02-03,5.030000,5.120000,4.930000,5.010000,5.010000,6846923
2021-02-04,5.050000,5.080000,4.870000,4.940000,4.940000,5458363
2021-02-05,5.040000,5.040000,4.840000,4.900000,4.900000,3936684
2021-02-08,4.930000,5.250000,4.910000,5.250000,5.250000,8029803
2021-02-09,5.350000,5.410000,5.180000,5.210000,5.210000,6102750
2021-02-10,5.250000,5.310000,5.120000,5.120000,5.120000,4624658
2021-02-11,5.140000,5.180000,4.950000,5.010000,5.010000,4878864
2021-02-12,5.050000,5.100000,4.975000,5.030000,5.030000,3142144
2021-02-15,5.150000,5.350000,5.150000,5.310000,5.310000,6179868
2021-02-16,5.370000,5.420000,5.340000,5.390000,5.390000,6218461
2021-02-17,5.580000,6.190000,5.580000,6.110000,6.110000,20309256
2021-02-18,6.150000,6.180000,5.970000,6.050000,6.050000,10263416
2021-02-19,6.080000,6.230000,5.730000,5.820000,5.820000,8111843
2021-02-22,5.950000,6.350000,5.940000,6.160000,6.160000,10423096
2021-02-23,6.180000,6.180000,5.530000,5.800000,5.800000,15100822
2021-02-24,5.730000,5.800000,5.580000,5.740000,5.740000,7262489
2021-02-25,5.800000,5.950000,5.565000,5.660000,5.660000,8528987
2021-02-26,5.500000,6.000000,5.410000,5.980000,5.980000,15580152
2021-03-01,6.070000,6.190000,5.690000,6.070000,6.070000,13303027
2021-03-02,6.150000,6.460000,6.060000,6.290000,6.290000,14882350
2021-03-03,6.370000,6.690000,6.350000,6.670000,6.670000,10191078
2021-03-04,6.680000,6.820000,6.390000,6.460000,6.460000,12296975
2021-03-05,6.140000,6.240000,6.010000,6.050000,6.050000,10337723
2021-03-08,6.220000,6.340000,5.825000,5.920000,5.920000,10583130
2021-03-09,5.900000,6.120000,5.810000,6.010000,6.010000,5834405
2021-03-10,6.250000,6.280000,6.010000,6.010000,6.010000,5298466
2021-03-11,6.030000,6.130000,5.880000,6.030000,6.030000,5581275
2021-03-12,6.200000,6.370000,6.090000,6.350000,6.350000,7172227
2021-03-15,6.400000,6.430000,6.105000,6.270000,6.270000,5188057
2021-03-16,6.280000,6.420000,6.240000,6.340000,6.340000,4673009
2021-03-17,6.300000,6.330000,6.180000,6.310000,6.310000,4311845
2021-03-18,6.300000,6.470000,6.280000,6.380000,6.380000,6250653
2021-03-19,6.320000,6.340000,6.170000,6.260000,6.260000,8162231
2021-03-22,6.280000,6.430000,6.260000,6.390000,6.390000,4141905
2021-03-23,6.450000,6.470000,6.180000,6.190000,6.190000,4684759
2021-03-24,6.050000,6.050000,5.610000,5.630000,5.630000,13554316
2021-03-25,5.570000,5.630000,5.420000,5.580000,5.580000,8769574
2021-03-26,5.730000,5.890000,5.690000,5.820000,5.820000,5406294
2021-03-29,5.890000,6.025000,5.875000,6.000000,6.000000,6429960
2021-03-30,6.050000,6.130000,6.020000,6.080000,6.080000,7050909
2021-03-31,6.100000,6.300000,6.100000,6.170000,6.170000,5027124
2021-04-01,6.200000,6.240000,6.110000,6.160000,6.160000,3169376
2021-04-06,6.280000,6.430000,6.220000,6.310000,6.310000,3185340
2021-04-07,6.320000,6.530000,6.320000,6.440000,6.440000,5127619
2021-04-08,6.470000,6.510000,6.360000,6.500000,6.500000,3293423
2021-04-09,6.510000,6.520000,6.270000,6.290000,6.290000,3386183
2021-04-12,6.330000,6.350000,6.180000,6.270000,6.270000,3778063
2021-04-13,6.240000,6.300000,6.180000,6.230000,6.230000,3043293
2021-04-14,6.230000,6.370000,6.190000,6.260000,6.260000,4916252
2021-04-15,6.250000,6.340000,6.190000,6.250000,6.250000,4145970
2021-04-16,6.230000,6.265000,6.100000,6.180000,6.180000,4108131
2021-04-19,6.190000,6.410000,6.160000,6.380000,6.380000,6652776
2021-04-20,6.300000,6.300000,5.840000,5.850000,5.850000,20795990
2021-04-21,5.660000,5.660000,5.360000,5.540000,5.540000,36702877
2021-04-22,5.400000,5.460000,5.250000,5.310000,5.310000,11503150
2021-04-23,5.250000,5.500000,5.250000,5.480000,5.480000,8971723
2021-04-26,5.520000,5.560000,5.395000,5.500000,5.500000,6561803
2021-04-27,5.520000,5.580000,5.360000,5.410000,5.410000,4840161
2021-04-28,5.360000,5.460000,5.190000,5.230000,5.230000,12700207
2021-04-29,5.180000,5.505000,5.160000,5.480000,5.480000,12022026
2021-04-30,5.490000,5.590000,5.480000,5.500000,5.500000,6204743
2021-05-03,5.580000,5.710000,5.490000,5.540000,5.540000,6710722
2021-05-04,5.580000,5.650000,5.510000,5.600000,5.600000,6043603
2021-05-05,5.540000,5.720000,5.505000,5.700000,5.700000,4644579
2021-05-06,5.800000,5.870000,5.620000,5.700000,5.700000,5426006
2021-05-07,5.690000,5.840000,5.680000,5.800000,5.800000,3396712
2021-05-10,5.870000,5.980000,5.840000,5.980000,5.980000,3567478
2021-05-11,5.920000,6.050000,5.910000,6.010000,6.010000,4636191
2021-05-12,5.980000,6.140000,5.610000,5.780000,5.780000,15666363
2021-05-13,5.600000,5.790000,5.580000,5.670000,5.670000,4719599
2021-05-14,5.670000,5.710000,5.390000,5.440000,5.440000,8226174
2021-05-17,5.500000,5.590000,5.370000,5.460000,5.460000,3626042
2021-05-18,5.480000,5.500000,5.340000,5.450000,5.450000,3549782
2021-05-19,5.360000,5.380000,5.210000,5.260000,5.260000,4714986
2021-05-20,5.200000,5.320000,5.110000,5.260000,5.260000,4099718
2021-05-21,5.290000,5.290000,5.200000,5.240000,5.240000,2751223
2021-05-24,5.250000,5.435000,5.240000,5.300000,5.300000,2602330
2021-05-25,5.310000,5.410000,5.290000,5.390000,5.390000,1909469
2021-05-26,5.350000,5.430000,5.280000,5.390000,5.390000,2684887
2021-05-27,5.420000,5.600000,5.410000,5.520000,5.520000,3956149
2021-05-28,5.600000,5.650000,5.530000,5.540000,5.540000,2483926
2021-05-31,5.570000,5.625000,5.460000,5.520000,5.520000,2489901
2021-06-01,5.350000,5.400000,5.210000,5.250000,5.250000,5045688
2021-06-02,5.260000,5.410000,5.260000,5.300000,5.300000,5698254
2021-06-03,5.320000,5.510000,5.300000,5.450000,5.450000,4530915
2021-06-04,5.440000,5.480000,5.345000,5.440000,5.440000,2845590
