Date,Open,High,Low,Close,Adj Close,Volume
2022-02-03,17.379999,17.620001,17.040001,17.080000,16.531029,45100
2022-02-04,17.110001,17.440001,17.000000,17.280001,16.724602,38700
2022-02-07,17.350000,17.480000,17.020000,17.309999,16.753637,40500
2022-02-08,17.360001,17.510000,17.200001,17.330000,16.772995,47600
2022-02-09,17.530001,17.870001,17.330000,17.680000,17.111746,69900
2022-02-10,17.570000,17.809999,17.010000,17.139999,16.589102,57100
2022-02-11,17.100000,17.360001,16.959999,17.020000,16.472960,22400
2022-02-14,17.020000,17.059999,16.549999,16.570000,16.037422,34300
2022-02-15,16.590000,17.049999,16.590000,16.980000,16.434244,34700
2022-02-16,16.910000,17.030001,16.570000,16.840000,16.298744,52500
2022-02-17,16.719999,16.750000,16.190001,16.230000,15.708349,91900
2022-02-18,16.190001,16.870001,16.190001,16.360001,15.834174,63700
2022-02-22,16.240000,16.660000,16.100000,16.190001,15.669635,32300
2022-02-23,16.410000,16.410000,15.760000,16.040001,15.524458,55800
2022-02-24,15.630000,16.049999,15.610000,15.940000,15.427670,22500
2022-02-25,16.010000,16.240000,15.610000,15.990000,15.476064,131300
2022-02-28,15.830000,16.389999,15.540000,16.000000,15.485743,100100
2022-03-01,15.980000,16.000000,15.600000,15.740000,15.234098,84500
2022-03-02,15.790000,15.990000,15.620000,15.840000,15.330885,138200
2022-03-03,15.920000,16.309999,15.630000,16.240000,15.718030,166000
2022-03-04,16.160000,16.180000,14.500000,14.800000,14.324312,243700
2022-03-07,14.810000,15.030000,13.990000,14.020000,13.569383,105300
2022-03-08,14.020000,14.630000,13.770000,14.410000,13.946846,140800
2022-03-09,14.590000,15.140000,14.160000,14.890000,14.411420,110300
2022-03-10,15.650000,17.290001,15.280000,17.129999,16.579422,169700
2022-03-11,17.190001,17.190001,15.710000,15.790000,15.282492,142800
2022-03-14,15.790000,15.850000,14.610000,14.750000,14.275919,62500
2022-03-15,14.840000,14.850000,14.050000,14.140000,13.685525,71400
2022-03-16,14.360000,15.960000,14.350000,15.860000,15.350242,162500
2022-03-17,15.920000,16.360001,15.870000,16.010000,15.495421,53300
2022-03-18,15.920000,17.110001,15.900000,16.820000,16.279387,59500
2022-03-21,16.879999,17.129999,16.510000,16.770000,16.328072,81400
2022-03-22,16.900000,16.930000,16.530001,16.629999,16.191759,24600
2022-03-23,16.570000,16.690001,16.219999,16.330000,15.899665,19100
2022-03-24,16.490000,16.610001,16.250000,16.350000,15.919139,58200
2022-03-25,16.459999,16.459999,15.850000,15.870000,15.451786,68100
2022-03-28,15.810000,15.930000,15.670000,15.740000,15.325212,41400
2022-03-29,15.770000,16.110001,15.700000,15.820000,15.403104,62500
2022-03-30,15.860000,16.250000,15.650000,15.790000,15.373896,81600
2022-03-31,15.790000,15.790000,15.120000,15.220000,14.818916,36600
2022-04-01,15.310000,15.650000,15.040000,15.150000,14.750760,28300
2022-04-04,15.360000,15.890000,15.310000,15.790000,15.373896,46000
2022-04-05,15.930000,16.070000,15.150000,15.150000,14.750760,70000
