Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,6.390000,6.620000,6.370000,6.600000,6.437795,29550728
2021-01-05,6.500000,6.600000,6.450000,6.550000,6.389024,26567860
2021-01-06,6.530000,6.540000,6.300000,6.340000,6.184185,26114889
2021-01-07,6.350000,6.350000,6.140000,6.180000,6.028117,26370795
2021-01-08,6.160000,6.190000,6.020000,6.050000,5.901312,25057368
2021-01-11,6.050000,6.090000,5.850000,5.860000,5.715982,29218670
2021-01-12,5.850000,5.930000,5.820000,5.880000,5.735490,18111324
2021-01-13,5.880000,6.040000,5.850000,6.020000,5.872049,23383116
2021-01-14,5.930000,5.940000,5.780000,5.920000,5.774508,20753519
2021-01-15,5.950000,5.960000,5.800000,5.860000,5.715982,16307232
2021-01-18,5.990000,6.190000,5.960000,6.150000,5.998855,37714265
2021-01-19,6.050000,6.150000,6.010000,6.050000,5.901312,21490794
2021-01-20,6.040000,6.290000,5.980000,6.250000,6.096397,32975247
2021-01-21,6.200000,6.810000,6.180000,6.600000,6.437795,72922671
2021-01-22,6.620000,6.660000,6.470000,6.500000,6.340253,54498464
2021-01-25,6.730000,6.910000,6.560000,6.610000,6.447549,72875909
2021-01-26,6.500000,6.900000,6.460000,6.880000,6.710914,64553699
2021-01-27,6.800000,6.800000,6.340000,6.590000,6.428041,54141867
2021-01-28,6.470000,6.780000,6.470000,6.510000,6.350007,48797955
2021-01-29,6.650000,6.770000,6.420000,6.730000,6.564600,58554045
2021-02-01,6.620000,6.960000,6.520000,6.920000,6.749931,61947927
2021-02-02,6.870000,6.940000,6.700000,6.860000,6.691405,57543904
2021-02-03,6.780000,7.050000,6.530000,6.590000,6.428041,68203942
2021-02-04,6.460000,6.530000,6.020000,6.180000,6.028117,60094302
2021-02-05,6.120000,6.170000,5.810000,5.880000,5.735490,40834382
2021-02-08,5.860000,6.030000,5.810000,5.960000,5.813524,18140274
2021-02-09,5.960000,6.300000,5.950000,6.250000,6.096397,31981486
2021-02-10,6.230000,6.320000,6.140000,6.230000,6.076889,22588183
2021-02-18,6.450000,6.520000,6.340000,6.440000,6.281727,29108952
2021-02-19,6.440000,6.620000,6.400000,6.580000,6.418287,30088363
2021-02-22,6.780000,7.240000,6.710000,7.050000,6.876736,105536185
2021-02-23,6.950000,7.760000,6.910000,7.760000,7.569286,106991938
2021-02-24,7.740000,7.840000,7.250000,7.250000,7.071820,114313852
2021-02-25,7.440000,7.450000,7.030000,7.110000,6.935261,70282286
2021-02-26,6.900000,7.330000,6.830000,7.090000,6.915752,67054772
2021-03-01,7.130000,7.680000,7.130000,7.640000,7.452235,87419434
2021-03-02,7.550000,7.640000,7.310000,7.370000,7.188871,78135809
2021-03-03,7.320000,7.760000,7.320000,7.670000,7.481498,75698800
2021-03-04,7.540000,8.440000,7.480000,8.010000,7.813142,137132695
2021-03-05,7.770000,7.850000,7.460000,7.500000,7.315676,80739869
2021-03-08,7.610000,7.810000,7.340000,7.360000,7.179117,64618596
2021-03-09,7.320000,7.510000,6.900000,7.030000,6.857227,56757834
2021-03-10,7.120000,7.200000,6.950000,7.100000,6.925507,36035693
2021-03-11,7.100000,7.480000,6.980000,7.450000,7.266905,48771481
2021-03-12,7.340000,7.790000,7.280000,7.610000,7.422973,66844367
2021-03-15,7.900000,7.960000,7.580000,7.760000,7.569286,69090571
2021-03-16,7.670000,7.790000,7.430000,7.530000,7.344939,54863794
2021-03-17,7.420000,7.670000,7.350000,7.550000,7.364448,38836650
2021-03-18,7.530000,7.530000,7.200000,7.210000,7.032803,46931252
2021-03-19,7.130000,7.410000,7.080000,7.300000,7.120592,35246555
2021-03-22,7.220000,7.440000,7.160000,7.380000,7.198626,34512295
2021-03-23,7.360000,7.370000,7.000000,7.010000,6.837718,38909961
2021-03-24,6.920000,6.990000,6.750000,6.800000,6.632880,31776693
2021-03-25,6.850000,6.970000,6.800000,6.850000,6.681651,23012234
2021-03-26,6.850000,7.020000,6.810000,6.970000,6.798702,21684134
2021-03-29,6.920000,6.980000,6.780000,6.820000,6.652388,24263008
2021-03-30,6.780000,7.040000,6.670000,6.960000,6.788948,34707016
2021-03-31,6.900000,6.930000,6.770000,6.840000,6.671897,18674667
2021-04-01,6.860000,6.910000,6.790000,6.860000,6.691405,14652422
2021-04-02,6.850000,6.880000,6.710000,6.720000,6.554846,17368010
2021-04-06,6.700000,6.940000,6.700000,6.920000,6.749931,20356042
2021-04-07,6.890000,7.100000,6.820000,7.090000,6.915752,29352342
2021-04-08,7.000000,7.050000,6.900000,6.960000,6.788948,26919852
2021-04-09,6.920000,7.020000,6.830000,6.910000,6.740176,19145829
2021-04-12,6.940000,7.050000,6.730000,6.760000,6.593863,23270771
2021-04-13,6.720000,6.770000,6.450000,6.470000,6.310989,26486061
2021-04-14,6.460000,6.600000,6.440000,6.570000,6.408533,11915173
2021-04-15,6.570000,6.640000,6.490000,6.620000,6.457304,12371965
2021-04-16,6.620000,6.750000,6.590000,6.700000,6.535337,15640558
2021-04-19,6.680000,6.910000,6.640000,6.890000,6.720668,21684930
2021-04-20,6.860000,6.930000,6.800000,6.810000,6.642634,18923292
2021-04-21,6.780000,6.780000,6.660000,6.700000,6.535337,15897128
2021-04-22,6.710000,6.760000,6.600000,6.610000,6.447549,13637045
2021-04-23,6.620000,6.640000,6.450000,6.560000,6.398778,14370565
2021-04-26,6.570000,6.700000,6.560000,6.560000,6.398778,14022162
2021-04-27,6.580000,6.620000,6.380000,6.430000,6.271973,14932185
2021-04-28,6.450000,6.520000,6.370000,6.520000,6.359761,9763717
2021-04-29,6.500000,6.510000,6.380000,6.470000,6.310989,13060159
2021-04-30,6.460000,6.470000,6.270000,6.300000,6.145168,14641602
2021-05-06,6.360000,6.520000,6.350000,6.460000,6.301236,14210578
2021-05-07,6.460000,6.670000,6.420000,6.580000,6.418287,22681897
2021-05-10,6.590000,6.730000,6.560000,6.710000,6.545092,23715990
2021-05-11,6.640000,6.650000,6.380000,6.570000,6.408533,21091923
2021-05-12,6.520000,6.640000,6.470000,6.640000,6.476812,13566684
2021-05-13,6.580000,6.590000,6.420000,6.450000,6.291481,15841502
2021-05-14,6.460000,6.530000,6.430000,6.510000,6.350007,10456238
2021-05-17,6.500000,6.560000,6.450000,6.520000,6.359761,10989099
2021-05-18,6.520000,6.540000,6.450000,6.490000,6.330498,9700694
2021-05-19,6.450000,6.460000,6.350000,6.380000,6.223202,14124483
2021-05-20,6.350000,6.350000,6.170000,6.210000,6.057380,18056864
2021-05-21,6.200000,6.280000,6.190000,6.220000,6.067134,9468359
2021-05-24,6.210000,6.270000,6.200000,6.240000,6.086642,8676378
2021-05-25,6.250000,6.340000,6.210000,6.340000,6.184185,12363863
2021-05-26,6.330000,6.430000,6.300000,6.380000,6.223202,14862018
2021-05-27,6.390000,6.410000,6.340000,6.370000,6.213448,10918729
2021-05-28,6.370000,6.430000,6.330000,6.340000,6.184185,11083889
2021-05-31,6.340000,6.500000,6.310000,6.480000,6.320744,19911570
2021-06-01,6.480000,6.610000,6.470000,6.540000,6.379270,22615056
