Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,7.140000,7.310000,7.120000,7.280000,7.071275,10698535
2021-01-05,7.220000,7.270000,7.140000,7.210000,7.003282,9020575
2021-01-06,7.250000,7.250000,7.040000,7.110000,6.906149,9138725
2021-01-07,7.100000,7.130000,6.800000,6.910000,6.711883,11127421
2021-01-08,6.900000,6.900000,6.660000,6.800000,6.605037,8297369
2021-01-11,6.800000,6.920000,6.690000,6.770000,6.575897,7764627
2021-01-12,6.720000,6.810000,6.690000,6.810000,6.614750,5890975
2021-01-13,6.790000,7.490000,6.780000,7.190000,6.983855,33988110
2021-01-14,6.960000,7.000000,6.700000,6.860000,6.663317,23635244
2021-01-15,6.870000,7.040000,6.820000,6.900000,6.702169,12307150
2021-01-18,7.000000,7.320000,7.000000,7.110000,6.906149,17678725
2021-01-19,7.110000,7.160000,7.020000,7.060000,6.857582,11382237
2021-01-20,7.000000,7.290000,6.980000,7.250000,7.042134,17831765
2021-01-21,7.210000,7.620000,7.160000,7.500000,7.284967,34608669
2021-01-22,7.490000,7.500000,7.270000,7.300000,7.090701,22581594
2021-01-25,7.330000,7.360000,7.090000,7.110000,6.906149,16326105
2021-01-26,7.070000,7.230000,7.000000,7.140000,6.935288,13399404
2021-01-27,7.070000,7.100000,6.880000,6.880000,6.682743,12205654
2021-01-28,6.810000,6.960000,6.780000,6.840000,6.643890,8805229
2021-01-29,6.890000,6.930000,6.700000,6.800000,6.605037,8154745
2021-02-01,6.770000,6.770000,6.660000,6.750000,6.556470,6496487
2021-02-02,6.720000,6.920000,6.700000,6.920000,6.721596,7016882
2021-02-03,6.920000,7.100000,6.820000,6.900000,6.702169,12122040
2021-02-04,6.800000,6.810000,6.400000,6.570000,6.381631,12717613
2021-02-05,6.530000,6.750000,6.430000,6.470000,6.284498,6261314
2021-02-08,6.510000,6.550000,6.430000,6.460000,6.274785,3849850
2021-02-09,6.460000,6.610000,6.450000,6.560000,6.371918,5471330
2021-02-10,6.560000,6.660000,6.530000,6.600000,6.410771,5274050
2021-02-18,6.740000,6.850000,6.730000,6.760000,6.566184,7665209
2021-02-19,6.760000,6.930000,6.720000,6.920000,6.721596,7412259
2021-02-22,6.950000,7.410000,6.950000,7.170000,6.964428,23845912
2021-02-23,7.120000,7.250000,7.060000,7.150000,6.945002,15574339
2021-02-24,7.110000,7.160000,6.920000,7.020000,6.818729,11735091
2021-02-25,7.040000,7.110000,6.860000,6.880000,6.682743,8926050
2021-02-26,6.770000,6.960000,6.770000,6.840000,6.643890,6987438
2021-03-01,6.920000,7.310000,6.880000,7.270000,7.061562,21610569
2021-03-02,7.290000,7.880000,7.180000,7.360000,7.148981,40050374
2021-03-03,7.300000,7.770000,7.300000,7.700000,7.479232,39901260
2021-03-04,7.610000,8.180000,7.510000,7.870000,7.644359,56857382
2021-03-05,7.660000,8.050000,7.620000,7.700000,7.479232,33882515
2021-03-08,7.760000,7.880000,7.620000,7.660000,7.440379,27200844
2021-03-09,7.560000,7.620000,7.220000,7.350000,7.139267,26830825
2021-03-10,7.410000,7.560000,7.270000,7.350000,7.139267,18990600
2021-03-11,7.310000,7.740000,7.280000,7.700000,7.479232,27281007
2021-03-12,7.670000,7.780000,7.590000,7.740000,7.518086,24674100
2021-03-15,7.670000,7.920000,7.610000,7.740000,7.518086,19853325
2021-03-16,7.740000,7.760000,7.440000,7.630000,7.411240,17832800
2021-03-17,7.520000,7.580000,7.410000,7.530000,7.314107,13448282
2021-03-18,7.500000,7.570000,7.370000,7.380000,7.168407,14985875
2021-03-19,7.270000,7.490000,7.250000,7.410000,7.197547,11800525
2021-03-22,7.380000,7.570000,7.370000,7.530000,7.314107,13071850
2021-03-23,7.510000,7.600000,7.230000,7.250000,7.042134,13919633
2021-03-24,7.230000,7.290000,7.120000,7.170000,6.964428,9543391
2021-03-25,7.140000,7.320000,7.140000,7.170000,6.964428,7933575
2021-03-26,7.160000,7.320000,7.140000,7.280000,7.071275,8448700
2021-03-29,7.270000,7.310000,7.180000,7.250000,7.042134,6867641
2021-03-30,7.260000,7.370000,7.130000,7.280000,7.071275,11662841
2021-03-31,7.240000,7.260000,7.010000,7.030000,6.828443,12330126
2021-04-01,6.930000,6.950000,6.750000,6.870000,6.673029,14999642
2021-04-02,6.870000,6.920000,6.820000,6.880000,6.682743,7827525
2021-04-06,6.880000,7.060000,6.880000,7.050000,6.847869,9602292
2021-04-07,7.020000,7.230000,7.000000,7.200000,6.993568,11781475
2021-04-08,7.220000,7.300000,7.140000,7.220000,7.012995,10317500
2021-04-09,7.220000,7.320000,7.140000,7.270000,7.061562,9902999
2021-04-12,7.250000,7.310000,7.120000,7.150000,6.945002,9499175
2021-04-13,7.120000,7.150000,6.940000,6.970000,6.770162,6916325
2021-04-14,7.000000,7.100000,6.950000,7.070000,6.867296,6471130
2021-04-15,7.080000,7.090000,6.950000,7.060000,6.857582,5907575
2021-04-16,7.070000,7.190000,7.020000,7.170000,6.964428,7642650
2021-04-19,7.170000,7.270000,7.140000,7.240000,7.032421,8199775
2021-04-20,7.200000,7.290000,7.180000,7.180000,6.974142,7666750
2021-04-21,7.150000,7.150000,7.000000,7.010000,6.809016,8200217
2021-04-22,7.010000,7.160000,7.010000,7.040000,6.838156,6216408
2021-04-23,7.000000,7.040000,6.900000,6.980000,6.779876,6504129
2021-04-26,6.980000,7.030000,6.880000,6.890000,6.692456,7885592
2021-04-27,6.940000,6.970000,6.750000,6.830000,6.634176,7554447
2021-04-28,6.830000,6.890000,6.770000,6.870000,6.673029,4373675
2021-04-29,6.880000,6.880000,6.770000,6.770000,6.575897,5978635
2021-04-30,6.740000,6.800000,6.640000,6.710000,6.517617,7135305
2021-05-06,6.720000,6.880000,6.720000,6.790000,6.595323,6212349
2021-05-07,6.790000,6.940000,6.790000,6.850000,6.653603,8967167
2021-05-10,6.850000,7.050000,6.850000,7.040000,6.838156,12369055
2021-05-11,6.950000,6.970000,6.710000,6.810000,6.614750,14857874
2021-05-12,6.730000,6.850000,6.720000,6.850000,6.653603,7056236
2021-05-13,6.790000,6.830000,6.700000,6.750000,6.556470,6995897
2021-05-14,6.780000,6.820000,6.720000,6.800000,6.605037,5493572
2021-05-17,6.800000,6.800000,6.750000,6.780000,6.585610,4729123
2021-05-18,6.840000,6.840000,6.770000,6.810000,6.614750,4009987
2021-05-19,6.770000,6.830000,6.710000,6.790000,6.595323,6572892
2021-05-20,6.780000,6.780000,6.700000,6.710000,6.517617,5030655
2021-05-21,6.690000,6.740000,6.690000,6.700000,6.507904,4110225
2021-05-24,6.710000,6.880000,6.710000,6.800000,6.605037,8185917
2021-05-25,6.800000,6.810000,6.740000,6.800000,6.605037,6027006
2021-05-26,6.800000,6.900000,6.770000,6.860000,6.663317,8831614
2021-05-27,6.840000,6.880000,6.800000,6.860000,6.663317,7200003
2021-05-28,6.860000,6.960000,6.830000,6.870000,6.673029,8768775
