Date,Interpolated Demand,Interpolated Total Value
2020-01-01,15416.387419354838,664702078.0993549
2020-01-02,14922.161431337257,640952588.7287477
2020-01-03,14463.771539676076,618854483.8772348
2020-01-04,14040.236715884494,598363527.3937713
2020-01-05,13650.575931475718,579435483.1273133
2020-01-06,13293.808157962952,562026114.9268155
2020-01-07,12968.952366859403,546091186.6412338
2020-01-08,12675.02752967827,531586462.1195236
2020-01-09,12411.052617932757,518467705.21064043
2020-01-10,12176.04660313607,506690679.76353985
2020-01-11,11969.028456801416,496211149.6271772
2020-01-12,11789.017150441996,486984878.650508
2020-01-13,11635.031655571012,478967630.68248767
2020-01-14,11506.090943701673,472115169.57207185
2020-01-15,11401.213986347178,466383259.1682159
2020-01-16,11319.419755020735,461727663.3198754
2020-01-17,11259.72722123555,458104145.8760057
2020-01-18,11221.155356504822,455468470.68556243
2020-01-19,11202.723132341753,453776401.5975009
2020-01-20,11203.449520259555,452983702.46077687
2020-01-21,11222.353491771426,453046137.1243455
2020-01-22,11258.454018390576,453919469.43716246
2020-01-23,11310.770071630202,455559463.24818313
2020-01-24,11378.320623003514,457921882.40636307
2020-01-25,11460.124644023712,460962490.76065767
2020-01-26,11555.201106204002,464637052.16002274
2020-01-27,11662.568981057586,468901330.4534133
2020-01-28,11781.247240097673,473711089.489785
2020-01-29,11910.254854837462,479022093.1180934
2020-01-30,12048.61079679016,484790105.18729424
2020-01-31,12195.334037468969,490970889.5463424
2020-02-01,12349.443548387097,497520210.04419357
2020-02-02,12509.958301057743,504393830.5298035
2020-02-03,12675.897266994112,511547514.8521275
2020-02-04,12846.279417709413,518937026.8601211
2020-02-05,13020.123724716845,526518130.4027396
2020-02-06,13196.449159529615,534246589.3289387
2020-02-07,13374.274693660924,542078167.4876738
2020-02-08,13552.61929862398,549968628.7279005
2020-02-09,13730.501945931981,557873736.898574
2020-02-10,13906.941607098139,565749255.84865
2020-02-11,14080.957253635654,573550949.4270841
2020-02-12,14251.567857057727,581234581.4828315
2020-02-13,14417.79238887757,588755915.8648478
2020-02-14,14578.64982060838,596070716.4220884
2020-02-15,14733.159123763364,603134747.0035089
2020-02-16,14880.339269855725,609903771.4580648
2020-02-17,15019.20923039867,616333553.6347115
2020-02-18,15148.7879769054,622379857.3824047
2020-02-19,15268.094480889118,627998446.5500994
2020-02-20,15376.14771386303,633145084.9867514
2020-02-21,15471.966647340343,637775536.5413163
2020-02-22,15554.570252834257,641845565.0627496
2020-02-23,15622.977501857978,645310934.4000063
2020-02-24,15676.207365924707,648127408.4020424
2020-02-25,15713.278816547652,650250750.9178132
2020-02-26,15733.210825240018,651636725.7962741
2020-02-27,15735.022363515003,652241096.8863806
2020-02-28,15717.732402885818,652019628.0370884
2020-02-29,15680.359914865665,650928083.0973527
2020-03-01,15621.923870967743,648922225.9161291
2020-03-02,15541.831391667229,645974922.7295512
2020-03-03,15441.042193287163,642127449.3224647
2020-03-04,15320.904141112554,637438183.8668936
2020-03-05,15182.765100428409,631965504.5348614
2020-03-06,15027.97293651974,625767789.4983922
2020-03-07,14857.875514671552,618903416.9295099
2020-03-08,14673.820700168857,611430765.0002382
2020-03-09,14477.156358296661,603408211.8826011
2020-03-10,14269.230354339974,594894135.7486222
2020-03-11,14051.390553583804,585946914.7703255
2020-03-12,13824.98482131316,576624927.1197348
2020-03-13,13591.361022813053,566986550.968874
2020-03-14,13351.867023368488,557090164.4897668
2020-03-15,13107.850688264474,546994145.8544374
2020-03-16,12860.659882786023,536756873.2349091
2020-03-17,12611.642472218144,526436724.8032062
2020-03-18,12362.146321845838,516092078.7313523
2020-03-19,12113.519296954124,505781313.19137126
