Date,Interpolated Value
2021-01-01,2823.2993032258064
2021-01-02,2783.4070942249805
2021-01-03,2746.856900026813
2021-01-04,2713.5541344098356
2021-01-05,2683.4042111525796
2021-01-06,2656.3125440335757
2021-01-07,2632.1845468313572
2021-01-08,2610.925633324454
2021-01-09,2592.441217291398
2021-01-10,2576.6367125107213
2021-01-11,2563.4175327609555
2021-01-12,2552.689091820631
2021-01-13,2544.35680346828
2021-01-14,2538.326081482435
2021-01-15,2534.502339641625
2021-01-16,2532.7909917243833
2021-01-17,2533.097451509241
2021-01-18,2535.3271327747307
2021-01-19,2539.3854492993823
2021-01-20,2545.177814861728
2021-01-21,2552.609643240299
2021-01-22,2561.586348213628
2021-01-23,2572.0133435602447
2021-01-24,2583.796043058682
2021-01-25,2596.8398604874706
2021-01-26,2611.050209625142
2021-01-27,2626.332504250229
2021-01-28,2642.5921581412617
2021-01-29,2659.7345850767715
2021-01-30,2677.6651988352914
2021-01-31,2696.2894131953512
2021-02-01,2715.5126419354838
2021-02-02,2735.24029883422
2021-02-03,2755.3777976700912
2021-02-04,2775.8305522216297
2021-02-05,2796.503976267366
2021-02-06,2817.303483585832
2021-02-07,2838.1344879555595
2021-02-08,2858.90240315508
2021-02-09,2879.5126429629245
2021-02-10,2899.870621157625
2021-02-11,2919.8817515177125
2021-02-12,2939.451447821719
2021-02-13,2958.485123848176
2021-02-14,2976.888193375615
2021-02-15,2994.566070182567
2021-02-16,3011.4241680475643
2021-02-17,3027.3679007491373
2021-02-18,3042.3026820658197
2021-02-19,3056.13392577614
2021-02-20,3068.7670456586325
2021-02-21,3080.107455491826
2021-02-22,3090.0605690542548
2021-02-23,3098.5318001244486
2021-02-24,3105.4265624809395
2021-02-25,3110.6502699022585
2021-02-26,3114.108336166938
2021-02-27,3115.706175053509
2021-02-28,3115.349200340503
2021-03-01,3112.9428258064518
2021-03-02,3108.429366175431
2021-03-03,3101.8987399536923
2021-03-04,3093.4777665930333
2021-03-05,3083.29326554525
2021-03-06,3071.4720562621396
2021-03-07,3058.140958195498
2021-03-08,3043.426790797123
2021-03-09,3027.45637351881
2021-03-10,3010.356525812356
