Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.510000,4.710000,4.470000,4.630000,4.373618,96506968
2021-01-05,4.590000,4.610000,4.460000,4.570000,4.316941,78225479
2021-01-06,4.570000,4.570000,4.380000,4.420000,4.175247,60969682
2021-01-07,4.440000,4.510000,4.310000,4.360000,4.118569,57241206
2021-01-08,4.420000,4.640000,4.400000,4.450000,4.203585,68194148
2021-01-11,4.400000,4.420000,4.120000,4.130000,3.901305,73128902
2021-01-12,4.100000,4.210000,4.070000,4.140000,3.910751,45456629
2021-01-13,4.200000,4.220000,4.080000,4.100000,3.872966,40323161
2021-01-14,4.090000,4.100000,3.890000,3.980000,3.759611,57141661
2021-01-15,3.970000,4.040000,3.950000,4.030000,3.806843,27329517
2021-01-18,4.010000,4.160000,3.990000,4.100000,3.872966,33897142
2021-01-19,4.100000,4.110000,3.990000,4.030000,3.806843,33194101
2021-01-20,4.050000,4.120000,4.010000,4.110000,3.882413,33793100
2021-01-21,4.090000,4.190000,4.070000,4.150000,3.920197,42082988
2021-01-22,4.160000,4.570000,4.130000,4.320000,4.080784,84232508
2021-01-25,4.210000,4.420000,4.170000,4.370000,4.128015,65489067
2021-01-26,4.310000,4.400000,4.250000,4.350000,4.109123,48345393
2021-01-27,4.380000,4.520000,4.310000,4.520000,4.269709,77064802
2021-01-28,4.430000,4.470000,4.300000,4.320000,4.080784,58042073
2021-01-29,4.330000,4.360000,4.120000,4.230000,3.995768,54246977
2021-02-01,4.180000,4.250000,4.020000,4.180000,3.948536,48441875
2021-02-02,4.210000,4.220000,4.020000,4.070000,3.844628,37799907
2021-02-03,4.080000,4.480000,4.060000,4.480000,4.231924,127481982
2021-02-04,4.450000,4.600000,4.380000,4.510000,4.260263,180100452
2021-02-05,4.410000,4.510000,4.250000,4.270000,4.033553,103187007
2021-02-08,4.270000,4.430000,4.050000,4.410000,4.165800,89070893
2021-02-09,4.380000,4.530000,4.350000,4.460000,4.213032,85022715
2021-02-10,4.380000,4.460000,4.320000,4.390000,4.146907,58515956
2021-02-18,4.460000,4.830000,4.460000,4.660000,4.401957,141475666
2021-02-19,4.650000,4.810000,4.590000,4.750000,4.486973,110811449
2021-02-22,4.820000,4.920000,4.640000,4.680000,4.420849,133392230
2021-02-23,4.640000,4.950000,4.640000,4.880000,4.609775,130996898
2021-02-24,4.810000,4.820000,4.570000,4.710000,4.449188,100334902
2021-02-25,4.700000,4.710000,4.470000,4.540000,4.288601,76572315
2021-02-26,4.420000,4.540000,4.380000,4.470000,4.222478,52569279
2021-03-01,4.460000,4.650000,4.440000,4.620000,4.364172,67392358
2021-03-02,4.610000,4.610000,4.420000,4.500000,4.250816,64789115
2021-03-03,4.490000,4.850000,4.440000,4.790000,4.524758,121107918
2021-03-04,4.760000,4.920000,4.730000,4.770000,4.505866,123513697
2021-03-05,4.720000,5.050000,4.720000,4.980000,4.704237,128245089
2021-03-08,4.930000,5.060000,4.790000,4.940000,4.666452,104616678
2021-03-09,4.870000,4.900000,4.600000,4.690000,4.430295,87786784
2021-03-10,4.710000,5.160000,4.640000,4.950000,4.675898,139779613
2021-03-11,4.860000,5.090000,4.850000,5.020000,4.742022,107596749
2021-03-12,5.050000,5.080000,4.880000,4.950000,4.675898,86835512
2021-03-15,4.920000,5.210000,4.850000,5.140000,4.855378,116495138
2021-03-16,5.090000,5.190000,5.040000,5.160000,4.874270,81605054
2021-03-17,5.100000,5.110000,4.920000,4.990000,4.713683,78673003
2021-03-18,4.940000,5.020000,4.830000,5.000000,4.723129,77501321
2021-03-19,4.920000,5.030000,4.830000,4.830000,4.562543,72359709
2021-03-22,4.760000,4.880000,4.700000,4.840000,4.571990,60504677
2021-03-23,4.840000,4.840000,4.520000,4.560000,4.307494,83041082
2021-03-24,4.560000,4.630000,4.460000,4.520000,4.269709,44914453
2021-03-25,4.520000,4.570000,4.420000,4.520000,4.269709,31683304
2021-03-26,4.600000,4.640000,4.550000,4.590000,4.335833,35650147
2021-03-29,4.560000,4.700000,4.480000,4.670000,4.411403,48154788
2021-03-30,4.630000,4.670000,4.580000,4.630000,4.373618,30124709
2021-03-31,4.620000,4.680000,4.520000,4.560000,4.307494,30113009
2021-04-01,4.560000,4.590000,4.360000,4.410000,4.165800,55129962
2021-04-02,4.420000,4.440000,4.340000,4.440000,4.194139,33835383
2021-04-06,4.440000,4.690000,4.430000,4.600000,4.345279,66026760
2021-04-07,4.620000,4.670000,4.530000,4.590000,4.335833,45713864
2021-04-08,4.590000,4.640000,4.500000,4.510000,4.260263,34708230
2021-04-09,4.520000,4.800000,4.510000,4.670000,4.411403,82280715
2021-04-12,4.710000,4.810000,4.650000,4.700000,4.439742,58536987
2021-04-13,4.660000,4.680000,4.450000,4.510000,4.260263,49799295
2021-04-14,4.500000,4.550000,4.470000,4.530000,4.279156,26241389
2021-04-15,4.640000,4.740000,4.550000,4.650000,4.392510,58129495
2021-04-16,4.630000,4.980000,4.610000,4.820000,4.553097,84437131
2021-04-19,4.860000,4.970000,4.840000,4.880000,4.609775,81911190
2021-04-20,4.950000,5.030000,4.860000,4.890000,4.619220,66738611
2021-04-21,4.920000,4.920000,4.740000,4.810000,4.543651,53491172
2021-04-22,4.860000,4.900000,4.770000,4.850000,4.581435,47462198
2021-04-23,4.840000,4.880000,4.740000,4.860000,4.590882,49416170
2021-04-26,4.850000,4.980000,4.760000,4.910000,4.638113,73962856
2021-04-27,4.880000,4.880000,4.680000,4.710000,4.449188,65962748
2021-04-28,4.730000,5.100000,4.690000,4.980000,4.704237,97602073
2021-04-29,4.930000,5.020000,4.910000,4.930000,4.657005,67691297
2021-04-30,4.940000,5.100000,4.890000,5.000000,4.723129,96272909
2021-05-06,5.030000,5.180000,5.000000,5.130000,4.845931,99536064
2021-05-07,5.110000,5.170000,5.020000,5.020000,4.742022,87130051
2021-05-10,4.980000,5.300000,4.910000,5.270000,4.978179,122220497
2021-05-11,5.220000,5.240000,5.080000,5.190000,4.902608,82533097
2021-05-12,5.160000,5.350000,5.110000,5.280000,4.987625,95577997
2021-05-13,5.200000,5.220000,5.020000,5.040000,4.760914,85259312
2021-05-14,5.090000,5.540000,5.070000,5.540000,5.233227,146960255
2021-05-17,5.610000,5.750000,5.400000,5.410000,5.110426,205357342
2021-05-18,5.490000,5.590000,5.360000,5.530000,5.223782,124791554
2021-05-19,5.450000,5.620000,5.420000,5.470000,5.167103,106110239
2021-05-20,5.500000,5.870000,5.430000,5.590000,5.280459,158143043
2021-05-21,5.610000,5.690000,5.440000,5.450000,5.148211,102480524
2021-05-24,5.420000,5.470000,5.260000,5.360000,5.063195,95015241
2021-05-25,5.350000,5.430000,5.250000,5.340000,5.044302,74765878
2021-05-26,5.350000,5.450000,5.300000,5.340000,5.044302,67112000
2021-05-27,5.310000,5.540000,5.270000,5.370000,5.072641,96877540
2021-05-28,5.370000,5.420000,5.250000,5.250000,4.959286,76823402
2021-05-31,5.230000,5.270000,5.070000,5.250000,4.959286,82372414
2021-06-01,5.240000,5.360000,5.210000,5.260000,4.968732,61867417
2021-06-02,5.230000,5.690000,5.220000,5.420000,5.119873,109421910
2021-06-03,5.400000,5.600000,5.350000,5.450000,5.148211,85090600
2021-06-04,5.380000,5.720000,5.260000,5.670000,5.356029,132379928
2021-06-07,5.670000,5.730000,5.530000,5.630000,5.318244,87112093
2021-06-08,5.610000,5.840000,5.540000,5.690000,5.374921,116492701
