Date,Adj Close 000969_SZ,Volume 000969_SZ,Adj Close ASM_AX,Volume ASM_AX,Adj Close 000970_SZ,Volume 000970_SZ,Adj Close 300127_SZ,Volume 300127_SZ,Adj Close 000795_SZ,Volume 000795_SZ,Adj Close LYC_AX,Volume LYC_AX,Adj Close MP,Volume MP,Adj Close NEO_TO,Volume NEO_TO,Adj Close 600366_SS,Volume 600366_SS,Adj Close 600259_SS,Volume 600259_SS,Adj Close 002057_SZ,Volume 002057_SZ,Adj Close UUUU,Volume UUUU,Adj Close 300224_SZ,Volume 300224_SZ,Adj Close 002249_SZ,Volume 002249_SZ,Adj Close USD_CNY,Interpolated Demand ev_sales,Interpolated Value ev_sales,Interpolated Value wind_energy,Price (CNY/T)
2021-01-04,6.713665,14145487.0,4.78,439213.0,9.721244,25615730.0,16.844931,5962203.0,5.59,17232127.0,4.18,7178597.0,29.139999,5964500.0,19.647623,112200.0,6.437795,29550728.0,31.219999,7075035.0,7.071275,10698535.0,3.94,6334200.0,12.287955,20536658.0,4.373618,96506968.0,6.5512,23570.37653,994404877.9,2812.8683360041623,635000.0
2021-01-05,6.753568,13718457.0,4.78,439213.0,9.750911,16332830.0,17.007177,6788244.0,5.57,12893976.0,4.35,10512932.0,29.309999,3178200.0,19.647623,112200.0,6.389024,26567860.0,31.18,5486366.0,7.003282,9020575.0,4.37,6103100.0,13.20218,41497311.0,4.316941,78225479.0,6.5512,23486.75732,991044135.1,2809.391346930281,635000.0
2021-01-06,6.613908,11556685.0,5.02,544232.0,9.701465,13923363.0,16.510895,5067661.0,5.43,14612100.0,4.28,7685366.0,29.49,4130500.0,16.458689,32800.0,6.184185,26114889.0,31.16,4896242.0,6.906149,9138725.0,4.16,5397400.0,12.808965,21643522.0,4.175247,60969682.0,6.369,23403.1381,987683392.4,2805.9143578563994,635000.0
2021-01-07,6.514151,13426712.0,7.29,599618.0,9.661907,18112475.0,16.215036,5105801.0,5.36,15409792.0,4.59,10056522.0,29.75,4144900.0,16.458689,32800.0,6.028117,26370795.0,31.58,8108812.0,6.711883,11127421.0,4.2,3149100.0,12.533715,20727502.0,4.118569,57241206.0,6.4562,23319.51888,984322649.6,2802.437368782518,625000.0
2021-01-08,6.753568,20120275.0,7.29,599618.0,9.711353,18551280.0,15.785563,5342705.0,5.23,18467772.0,4.6,10106663.0,29.49,3819300.0,16.458689,32800.0,5.901312,25057368.0,31.15,6756327.0,6.605037,8297369.0,4.01,4795200.0,11.747286,21529118.0,4.203585,68194148.0,6.4562,23235.89966,980961906.9,2798.960379708637,625000.0
2021-01-09,6.753568,20120275.0,10.97,503608.0,9.711353,18551280.0,15.785563,5342705.0,5.23,18467772.0,4.6,10106663.0,29.49,3819300.0,18.173031,107300.0,5.901312,25057368.0,31.15,6756327.0,6.605037,8297369.0,4.01,4795200.0,11.747286,21529118.0,4.203585,68194148.0,6.4596,23152.28044,977601164.1,2795.483390634756,615000.0
2021-01-10,6.753568,20120275.0,9.99,322541.0,9.711353,18551280.0,15.785563,5342705.0,5.23,18467772.0,4.6,10106663.0,29.49,3819300.0,17.583664,88000.0,5.901312,25057368.0,31.15,6756327.0,6.605037,8297369.0,4.01,4795200.0,11.747286,21529118.0,4.203585,68194148.0,6.4455,23068.66122,974240421.4,2792.006401560874,610000.0
2021-01-11,6.863301,22474564.0,10.96,484554.0,9.820137,35900319.0,15.947805,5330195.0,5.23,19406651.0,4.51,10369084.0,29.5,4217200.0,18.469591,83100.0,5.715982,29218670.0,31.709999,11565844.0,6.575897,7764627.0,3.96,3445600.0,12.307617,25610518.0,3.901305,73128902.0,6.4047,22985.042,970879678.7,2788.5294124869924,610000.0
2021-01-12,6.903204,17654391.0,12.55,441352.0,9.899252,26282650.0,15.690123,4300493.0,5.24,14588575.0,4.38,7929830.0,34.68,7311700.0,19.971806,92000.0,5.73549,18111324.0,31.299999,7424439.0,6.61475,5890975.0,3.76,4108400.0,12.622189,16869880.0,3.910751,45456629.0,6.3632,22901.42278,967518935.9,2785.0524234131112,610000.0
2021-01-13,7.062816,24869095.0,5.431152,362298.0,10.067371,37684590.0,15.852367,6489782.0,5.32,19478596.0,4.37,5336733.0,34.700001,4141800.0,14.673552,9200.0,5.872049,23383116.0,31.92,10493736.0,6.983855,33988110.0,3.99,5940800.0,13.094046,29546446.0,3.872966,40323161.0,6.4629,22817.80356,964158193.2,2781.57543433923,610000.0
2021-01-14,7.05284,19973741.0,5.221494,345274.0,9.820137,25510420.0,15.327456,5563487.0,5.17,15340874.0,4.35,4201994.0,33.18,2729400.0,15.440859,39600.0,5.774508,20753519.0,31.049999,6568868.0,6.663317,23635244.0,4.22,5527600.0,12.278125,21294408.0,3.759611,57141661.0,6.467,22734.18434,960797450.4,2778.0984452653483,605000.0
2021-01-15,7.12267,18292969.0,5.21151,295178.0,9.78058,22910796.0,15.46107,3190681.0,5.2,9363600.0,4.41,5773885.0,31.870001,4176200.0,15.014577,9700.0,5.715982,16307232.0,30.52,8701169.0,6.702169,12307150.0,3.98,4447100.0,12.612358,18349905.0,3.806843,27329517.0,6.4731,22650.56512,957436707.7,2774.621456191467,595000.0
2021-01-16,7.12267,18292969.0,5.21151,295178.0,9.78058,22910796.0,15.46107,3190681.0,5.2,9363600.0,4.41,5773885.0,31.870001,4176200.0,15.014577,9700.0,5.715982,16307232.0,30.52,8701169.0,6.702169,12307150.0,3.98,4447100.0,12.612358,18349905.0,3.806843,27329517.0,6.4731,22566.9459,954075964.9,2771.144467117586,595000.0
2021-01-17,7.12267,18292969.0,5.21151,295178.0,9.78058,22910796.0,15.46107,3190681.0,5.2,9363600.0,4.41,5773885.0,31.870001,4176200.0,15.014577,9700.0,5.715982,16307232.0,30.52,8701169.0,6.702169,12307150.0,3.98,4447100.0,12.612358,18349905.0,3.806843,27329517.0,6.4731,22483.32668,950715222.2,2767.6674780437043,595000.0
2021-01-18,7.411966,34219761.0,4.832128,596363.0,10.235491,41038080.0,16.243668,10203700.0,5.37,24876174.0,4.25,5925886.0,31.870001,4176200.0,14.95774,5900.0,5.998855,37714265.0,33.57,13346881.0,6.906149,17678725.0,3.98,4447100.0,13.467599,31181261.0,3.872966,33897142.0,6.4797,22399.70746,947354479.4,2764.190488969823,595000.0
2021-01-19,7.062816,38396946.0,5.171575,443520.0,9.889362,26593954.0,15.823736,6386999.0,5.26,16883270.0,4.48,9300656.0,35.549999,5209400.0,14.919849,6800.0,5.901312,21490794.0,31.57,18567444.0,6.857582,11382237.0,3.93,2819200.0,12.749983,26478049.0,3.806843,33194101.0,6.4914,22316.08824,943993736.7,2760.713499895942,595000.0
2021-01-20,7.252355,23208970.0,5.151608,323509.0,10.364051,52702634.0,16.654053,10804680.0,5.79,59790267.0,4.7,6850774.0,34.529999,3939000.0,14.7967,15200.0,6.096397,32975247.0,34.73,25096373.0,7.042134,17831765.0,3.93,2949700.0,13.713359,36183335.0,3.882413,33793100.0,6.4779,22232.46902,940632993.9,2757.23651082206,595000.0
2021-01-21,7.33216,35477373.0,5.321331,487354.0,10.789294,80036955.0,17.522545,19710147.0,5.88,104073785.0,4.89,7522927.0,33.860001,2495300.0,15.848195,63100.0,6.437795,72922671.0,38.200001,35325020.0,7.284967,34608669.0,3.85,2736200.0,14.657073,56176636.0,3.920197,42082988.0,6.4654,22148.8498,937272251.2,2753.759521748179,602500.0
2021-01-22,7.12267,22994506.0,5.890404,951423.0,10.53217,57914759.0,16.825842,12878893.0,5.7,58913464.0,5.56,20786541.0,32.68,3020100.0,16.037655,27800.0,6.340253,54498464.0,36.689999,35712461.0,7.090701,22581594.0,3.94,2346500.0,14.214707,40238103.0,4.080784,84232508.0,6.4614,22065.23058,933911508.4,2750.2825326742977,602500.0
2021-01-23,7.12267,22994506.0,5.890404,951423.0,10.53217,57914759.0,16.825842,12878893.0,5.7,58913464.0,5.56,20786541.0,32.68,3020100.0,16.037655,27800.0,6.340253,54498464.0,36.689999,35712461.0,7.090701,22581594.0,3.94,2346500.0,14.214707,40238103.0,4.080784,84232508.0,6.4614,21981.61136,930550765.7,2746.805543600416,607500.0
2021-01-24,7.12267,22994506.0,5.890404,951423.0,10.53217,57914759.0,16.825842,12878893.0,5.7,58913464.0,5.56,20786541.0,32.68,3020100.0,16.037655,27800.0,6.340253,54498464.0,36.689999,35712461.0,7.090701,22581594.0,3.94,2346500.0,14.214707,40238103.0,4.080784,84232508.0,6.4614,21897.99214,927190023.0,2743.328554526535,607500.0
2021-01-25,6.98301,18614348.0,5.600876,574258.0,10.225601,44813219.0,16.386826,7745500.0,5.51,45373587.0,5.38,12341177.0,32.599998,4008200.0,16.23185,7000.0,6.447549,72875909.0,35.599998,25088575.0,6.906149,16326105.0,3.89,2748200.0,13.988608,36279258.0,4.128015,65489067.0,6.4808,21814.37292,923829280.2,2739.8515654526536,607500.0
2021-01-26,6.883253,17753922.0,5.600876,574258.0,10.116817,37233443.0,16.711317,10652700.0,5.55,40920262.0,5.38,12341177.0,31.610001,1831200.0,14.986159,316800.0,6.710914,64553699.0,37.07,22312978.0,6.935288,13399404.0,4.21,6308400.0,14.843851,33208367.0,4.109123,48345393.0,6.4787,21730.7537,920468537.5,2736.374576378772,607500.0
